giocatore,consiglio
Asoro,RISCHI
Barrow,OTTIMI ATTACCANTI
Belotti,SEMITOP
Berardi,OTTIMI ATTACCANTI
Boga,OTTIMI ATTACCANTI
Bonazzoli,SCOMMESSE
Borja Mayoral,JOLLY SECONDA FASCIA
Caicedo,JOLLY PRIMA FASCIA
Caprari,TITOLARI NEOPROMOSSE
Caputo,SEMITOP
Carles Perez,JOLLY TERZA FASCIA
Cerri,DA EVITARE
Colley,SCOMMESSE
Colombo,SCOMMESSE
Cornelius,JOLLY TOP
Correa,BUONI ATTACCANTI
Cutrone,JOLLY PRIMA FASCIA
Defrel,JOLLY PRIMA FASCIA
Destro,JOLLY TERZA FASCIA
Deulofeu,TITOLARI SECONDA FASCIA
Di Carmine,JOLLY SECONDA FASCIA
Dragus,JOLLY TERZA FASCIA
Dybala,SEMITOP
Dzeko,SEMITOP
Edera,DA EVITARE
F. Ricci,RISCHI
Farias,TITOLARI NEOPROMOSSE
Favilli,JOLLY SECONDA FASCIA
Forestieri,DA EVITARE
Gabbiadini,JOLLY PRIMA FASCIA
Galabinov,TITOLARI SECONDA FASCIA
Gervinho,TITOLARI
Gudjohnsen,DA EVITARE
Gyasi,TITOLARI NEOPROMOSSE
Haraslin,JOLLY TERZA FASCIA
Hauge,SCOMMESSE
Iago Falqué,TITOLARI NEOPROMOSSE
Ibrahimovic,TOP
Ilicic,JOLLY TOP
Immobile,SUPERTOP
Improta,RISCHI
Inglese,TITOLARI
Joao Pedro,OTTIMI ATTACCANTI
Kalinic,TITOLARI SECONDA FASCIA
Karamoh,JOLLY SECONDA FASCIA
Keita,TITOLARI
Kouamé,BUONI ATTACCANTI
L. Insigne,BUONI ATTACCANTI
La Gumina,RISCHI
Lammers,SCOMMESSE
Lapadula,TITOLARI
Lasagna,TITOLARI
Lautaro Martinez,SEMITOP
Leao,JOLLY PRIMA FASCIA
Llorente,RISCHI
Lozano,JOLLY TOP
Lukaku,SUPERTOP
Luvumbo,RISCHI
Males,RISCHI
Mertens,SEMITOP
Messias,TITOLARI NEOPROMOSSE
Mihaila,RISCHI
Milik,RISCHI
Millico,RISCHI
Moncini,RISCHI
Morata,OTTIMI ATTACCANTI
Muriel,SEMITOP
Muriqi,SCOMMESSE
Nestorovski,RISCHI
Nzola,JOLLY TERZA FASCIA
Okaka,JOLLY SECONDA FASCIA
Orsolini,TITOLARI SECONDA FASCIA
Osimhen,SEMITOP
Ounas,JOLLY SECONDA FASCIA
Palacio,TITOLARI SECONDA FASCIA
Pandev,TITOLARI SECONDA FASCIA
Pavoletti,JOLLY PRIMA FASCIA
Pedro,BUONI ATTACCANTI
Petagna,JOLLY SECONDA FASCIA
Piccoli,JOLLY TERZA FASCIA
Pinamonti,JOLLY TERZA FASCIA
Pjaca,TITOLARI SECONDA FASCIA
Pussetto,RISCHI
Quagliarella,TITOLARI
R. Insigne,JOLLY TERZA FASCIA
Raspadori,SCOMMESSE
Rebic,OTTIMI ATTACCANTI
Ribery,TITOLARI
Riviere,TITOLARI NEOPROMOSSE
Ronaldo,SUPERTOP
Salcedo,JOLLY SECONDA FASCIA
Sanchez,JOLLY TOP
Sansone,JOLLY TERZA FASCIA
Santander,RISCHI
Sau,JOLLY TERZA FASCIA
Scamacca,JOLLY TERZA FASCIA
Shomurodov,SCOMMESSE
Siligardi,RISCHI
Simeone,TITOLARI
Simy,TITOLARI SECONDA FASCIA
Skov Olsen,JOLLY SECONDA FASCIA
Sprocati,DA EVITARE
Traorè Diallo,DA EVITARE
Verde,TITOLARI NEOPROMOSSE
Vignato,JOLLY TERZA FASCIA
Vlahovic,JOLLY PRIMA FASCIA
Zapata,TOP
Zaza,JOLLY SECONDA FASCIA
