giocatore,consiglio
Acampora,DA EVITARE
Adrien Silva,PER LEGHE NUMEROSE
Agoumè,PER LEGHE NUMEROSE
Agudelo,PER LEGHE NUMEROSE
Akpa-Akpro,RISCHI
Amrabat,TITOLARI
Andreas Pereira,JOLLY TOP
Arslan,PER LEGHE NUMEROSE
Arthur,BUONI CENTROCAMPISTI
Askildsen,GIOVANISSIMI
Badelj,TITOLARI LOW COST
Badu,DA EVITARE
Bakayoko,TITOLARI LOW COST
Baldursson,DA EVITARE
Barak,SCOMMESSE
Barella,BUONI CENTROCAMPISTI
Bartolomei,PER LEGHE NUMEROSE
Baselli,DA EVITARE
Behrami,RISCHI
Benali,TITOLARI LOW COST
Benassi,TITOLARI LOW COST
Bennacer,TITOLARI
Bentancur,BUONI CENTROCAMPISTI
Bernardeschi,ALTERNATIVE
Bonaventura,BUONI TITOLARI
Borja Valero,ALTERNATIVE
Bourabia,PER LEGHE NUMEROSE
Bradaric,DA EVITARE
Brahim Diaz,JOLLY TOP
Brozovic,BUONI CENTROCAMPISTI
Brugman,RISCHI
Brunetta,JOLLY SECONDA FASCIA
Calhanoglu,TOP
Caligara,GIOVANISSIMI
Callejon,BUONI TITOLARI
Candreva,BUONI TITOLARI
Cassata,RISCHI
Castillejo,TITOLARI
Castrovilli,OTTIMI CENTROCAMPISTI
Cataldi,RISCHI
Chiesa,OTTIMI CENTROCAMPISTI
Cigarini,PER LEGHE NUMEROSE
Coulibaly,RISCHI
Cristante,ALTERNATIVE
Crociata,RISCHI
Cyprien,SCOMMESSE
Dabo,TITOLARI LOW COST
Damsgaard,SCOMMESSE
Danzi,DA EVITARE
Deiola,RISCHI
Del Pinto,DA EVITARE
Demme,ALTERNATIVE
Dezi,RISCHI
Diawara,ALTERNATIVE
Djuricic,OTTIMI CENTROCAMPISTI
Dominguez,PER LEGHE NUMEROSE
Duncan,ALTERNATIVE
Eduardo Henrique,RISCHI
Ekdal,PER LEGHE NUMEROSE
Elmas,SCOMMESSE
Eriksen,JOLLY TOP
Escalante,ALTERNATIVE
Estevez,RISCHI
Fabian Ruiz,OTTIMI CENTROCAMPISTI
Fares,JOLLY SECONDA FASCIA
Freuler,TITOLARI
Gagliardini,JOLLY SECONDA FASCIA
Gojak,JOLLY SECONDA FASCIA
Gomelt,RISCHI
Gomez,SUPERTOP
Grassi,RISCHI
Hernani,PER LEGHE NUMEROSE
Hetemaj,PER LEGHE NUMEROSE
Ionita,TITOLARI LOW COST
Jajalo,RISCHI
Jankto,TITOLARI LOW COST
Kessié,TITOLARI
Khedira,DA EVITARE
Kiyine,RISCHI
Krunic,RISCHI
Kucka,BUONI TITOLARI
Kulusevski,TOP
Kurtic,TITOLARI
Lazovic,BUONI TITOLARI
Lazzari,TITOLARI
Leiva,TITOLARI LOW COST
Lerager,PER LEGHE NUMEROSE
Leris,RISCHI
Linetty,TITOLARI
Lobotka,ALTERNATIVE
Locatelli,OTTIMI CENTROCAMPISTI
Luis Alberto,TOP
Lukic,PER LEGHE NUMEROSE
Lulic,RISCHI
Maggiore,TITOLARI LOW COST
Magnanelli,RISCHI
Makengo,PER LEGHE NUMEROSE
Maldini,GIOVANISSIMI
Malinovskyi,CENTROCAMPISTI DA BONUS
Mandragora,DA EVITARE
Marin,TITOLARI LOW COST
Marusic,JOLLY SECONDA FASCIA
Mastinu,RISCHI
Maxime Lopez,SCOMMESSE
McKennie,TITOLARI
Medel,PER LEGHE NUMEROSE
Meitè,PER LEGHE NUMEROSE
Melegoni,PER LEGHE NUMEROSE
Milinkovic,SEMITOP
Miranchuk,CENTROCAMPISTI DA BONUS
Mkhitaryan,SEMITOP
Molina,PER LEGHE NUMEROSE
Mora,RISCHI
Mustacchio,RISCHI
Nandez,TITOLARI
Nicolussi Caviglia,RISCHI
Obiang,PER LEGHE NUMEROSE
Oliva,RISCHI
Palumbo,DA EVITARE
Parigini,DA EVITARE
Parolo,ALTERNATIVE
Pasalic,CENTROCAMPISTI DA BONUS
Pastore,RISCHI
Pellegrini,OTTIMI CENTROCAMPISTI
Pereiro,JOLLY SECONDA FASCIA
Pereyra,SCOMMESSE
Perisic,CENTROCAMPISTI DA BONUS
Pessina,PER LEGHE NUMEROSE
Petriccione,PER LEGHE NUMEROSE
Pobega,PER LEGHE NUMEROSE
Poli,RISCHI
Politano,JOLLY TOP
Pulgar,JOLLY TOP
Rabiot,TITOLARI
Radovanovic,DA EVITARE
Ramirez,JOLLY TOP
Ramsey,CENTROCAMPISTI DA BONUS
Ricci,SCOMMESSE
Rincon,TITOLARI LOW COST
Rog,TITOLARI
Saelemaekers,JOLLY SECONDA FASCIA
Schiattarella,PER LEGHE NUMEROSE
Schone,DA EVITARE
Schouten,TITOLARI LOW COST
Scozzarella,RISCHI
Segre,RISCHI
Sensi,JOLLY TOP
Soriano,BUONI TITOLARI
Sottil,SCOMMESSE
Sturaro,RISCHI
Svanberg,ALTERNATIVE
Tameze,TITOLARI LOW COST
Tello,RISCHI
Thorsby,PER LEGHE NUMEROSE
Tonali,TITOLARI
Traorè,JOLLY SECONDA FASCIA
Vecino,DA EVITARE
Veloso,TITOLARI
Verdi,BUONI CENTROCAMPISTI
Veretout,SEMITOP
Verre,SCOMMESSE
Vidal,SEMITOP
Vieira,RISCHI
Villar,ALTERNATIVE
Viola,SCOMMESSE
Vulic,PER LEGHE NUMEROSE
Walace,DA EVITARE
Zaccagni,TITOLARI
Zajc,SCOMMESSE
Zanellato,PER LEGHE NUMEROSE
Zaniolo,RISCHI
Zielinski,BUONI CENTROCAMPISTI
de Paul,SEMITOP
de Roon,TITOLARI
