Sacco;0;Cassetti;0;Gigi;0;Giacomo;0;Moli;0;Marcello;0;Tagliento;0;Sturie;0;Delu;0;Alex;
cragno;8;rafael;3;audero;4;Meret;36;montipo;2;ospina;15;Mirante;32;cordaz;1;Reina;1;pinsoglio ;1
radu;1;gollini;21;consigli;7;silvestri;10;perin;1;sepe;8;pau lopez;5;dragowsk;17;sirigu;15;buffon;1
handanovic;42;sportiello;1;donnarumma;41;Berardi A;1;scorupski;3;nicolas;3;boer;1;musso;21;strakosha;39;szcenzy;50
;0;;0;;0;;0;;0;;0;;0;;0;;0;;
teo hernandez;45;kolarov;12;izzo;11;hateboer;26;mancini;14;hisai;6;milenkovic;15;hakimi;45;koulibaly;20;muldur;15
luperto;1;lazzari;23;kjiar;10;maggiio;5;radu;1;craslov;3;Pezzella. G;1;hikey;3;pollirola;20;rodriguez;3
marchizza;1;lykogannis;3;kumbulla;11;mario rui;5;ricci;1;lyanco;1;larsen;3;iacponi;4;lulic;1;zappacosta;3
ghiglione;1;marusic;3;marrone;2;rodriguez;3;samir;1;murru;1;ansaldi;3;letizia;10;manolas;20;acerbi;7
pellegrini;8;nknoulu;5;rafael toloi;2;tolian;3;ayhan;1;skriniar;10;chetin;1;luiz felipe;2;pezzella;10;alex sandro;10
bruno alves;1;ibanez;4;romagnoli;15;bastoni;1;biraghi;5;bruner;1;cuadrado;1;masiello;2;romero;1;biraschi;1
calabria;1;romero;1;samlling;10;bruno peres;3;klavan;2;faraoni;14;de light;1;nuytjink;6;venuti;1;chiellini;1
criscito;1;spinazzoli;21;bonucci;10;de vrij;1;;0;girola;0;gosens;30;palomino;7;young;5;;
;0;;0;;0;;;;0;;0;;0;;0;;0;;
zielinski;25;zajc;9;amrabat;8;veetout;35;vidal;35;zaccagni;1;chalanoglu;32;verdi;6;benassi;1;artur;20
bentacour;14;diaz;10;badelj;6;vere;1;baella;26;demme;9;;26;"zanel;lato";1;elmas;3;kessie;12
bernaredeschi;2;de pail;30;locatelli;14;cristante;6;bonaventura;13;gojack;1;;1;barak;3;lucas leiva;2;kinetti;8
chiesa;47;eriksen;11;soriano ;17;djiuric;19;valero;1;kuckua;0;;40;candreva;22;mckennie;26;nandez;2
freuler;13;cALLEOJ;20;pereyra;0;fabian ruiz;23;brozovic;11;miguel veloso;6;sensi;38;gagliardini;7;tonali;5;ramsey;40
lobotka;1;luis alberto;61;;0;kurtic;12;de roon;16;savic;60;pereyra;1;kulusevski;80;cigarini;1;sottil;
malinovsky;31;mirakuncu;11;;0;selemeckers;7;gomez;70;castrovilli;0;;0;maggiore;1;bakaioko;1;;45
ekdal 1;0;pellegrini;0;;28;verre;2;niaggolan;4;parolo;40;;0;rog;5;cifarini;1;;
;0;;0;;0;;0;;0;;0;;0;;0;;0;;
caicedo;12;sanchez;20;belottu;33;caputo;104;zapata;176;vlauvic;14;balde;13;simeone;30;sansone;1;shomurodov;3
deolofeu;15;caprari;17;iago falque;1;quame;31;insigne;33;belotti;121;ibra;168;bonazzoli;31;boga;62;verdi;1
inglese;10;dzeko;30;martinez;115;lapadula;1;kalinc;26;perez;4;lammers;1;dybala;133;defrel;8;cristiano;210
karamoh;2;cassetti;110;berardi;0;martnez;131;ribery;15;correa;45;leao;9;gabbiadini;15;immobile;200;destro;3
lukaku;205;lasagna;6;galabivon;0;morata;29;di carminei;20;gyasi;8;barrow;0;hauge;1;joao pedro;51;ilicic;25
;0;lozano;11;rebic;41;favilli;0;quagliaella;0;kalinic;56;verde;0;okaka;1;pjaca;20;;
;0;;0;;0;;0;;0;;0;;0;;0;;0;;
;0;;0;;1;;0;;0;;0;;0;;0;;0;;
;0;;0;;0;;0;;0;;0;;0;;0;;0;;
;0;;0;;0;;0;;0;;0;;0;;0;;0;;
costi;487;;443;;387;;495;;477;;427;;422;;454;;515;;461
