giocatore,consiglio
A. Ferrari,RISCHI
Acerbi,SEMITOP
Alex Sandro,BUONI TITOLARI
Amione,GIOVANISSIMI
Ansaldi,JOLLY PRIMA FASCIA
Armini,DA EVITARE
Augello,TITOLARI LOW COST
Ayhan,JOLLY SECONDA FASCIA
Bani,DA LEGHE NUMEROSE
Barba,RISCHI
Barreca,RISCHI
Bastoni,BUONI TITOLARI
Bastos,RISERVE NELLE BIG
Becao,RISCHI
Bereszynski,TITOLARI LOW COST
Biraghi,BUONI TITOLARI
Biraschi,DA LEGHE NUMEROSE
Bonifazi,DA LEGHE NUMEROSE
Bonucci,SEMITOP
Bremer,TITOLARI LOW COST
Bruno Alves,TITOLARI LOW COST
Bruno Peres,JOLLY PRIMA FASCIA
Busi,TITOLARI LOW COST
Caceres,TITOLARI LOW COST
Calabria,TITOLARI LOW COST
Calafiori,GIOVANISSIMI
Caldara,DA EVITARE
Caldirola,TITOLARI LOW COST
Capradossi,DA EVITARE
Carboni,GIOVANISSIMI
Ceccherini,DA LEGHE NUMEROSE
Ceppitelli,RISCHI
Cetin,SCOMMESSE
Chabot,DA LEGHE NUMEROSE
Chiellini,BUONI TITOLARI
Chiriches,DA LEGHE NUMEROSE
Colley,TITOLARI LOW COST
Conti,JOLLY SECONDA FASCIA
Criscito,OTTIMI DIFENSORI
Cuadrado,OTTIMI DIFENSORI
Cuomo,RISCHI
Czyborra,RISCHI
Dalot,SCOMMESSE
Danilo (Bol.),TITOLARI LOW COST
Danilo (Juve),JOLLY PRIMA FASCIA
Darmian,RISERVE NELLE BIG
Dawidowicz,DA EVITARE
De Maio,DA LEGHE NUMEROSE
De Silvestri,TITOLARI LOW COST
Dell’Orco,RISCHI
Demiral,SCOMMESSE
Denswil,RISCHI
Depaoli,RISERVE NELLE BIG
Di Lorenzo,BUONI TITOLARI
Dijks,RISCHI
Dimarco,JOLLY SECONDA FASCIA
Djidji,DA LEGHE NUMEROSE
Djimsiti,TITOLARI
Duarte,RISCHI
D’Ambrosio,JOLLY PRIMA FASCIA
Empereur,RISCHI
Erlic,TITOLARI LOW COST
Faragò,DA LEGHE NUMEROSE
Faraoni,SEMITOP
Fazio,RISERVE NELLE BIG
Ferrer,RISCHI
Foulon,TITOLARI LOW COST
Frabotta,RISERVE NELLE BIG
G. Ferrari,TITOLARI LOW COST
Gabbia,RISERVE NELLE BIG
Gagliolo,TITOLARI LOW COST
Ger. Pezzella,BUONI TITOLARI
Ghiglione,JOLLY SECONDA FASCIA
Ghoulam,RISERVE NELLE BIG
Giu. Pezzella,DA LEGHE NUMEROSE
Glik,TITOLARI
Godin,BUONI TITOLARI
Goldaniga,DA LEGHE NUMEROSE
Golemic,DA LEGHE NUMEROSE
Gosens,TOP
Gunter,TITOLARI LOW COST
Hakimi,TOP
Hateboer,SEMITOP
Hickey,SCOMMESSE
Hoedt,JOLLY SECONDA FASCIA
Hysaj,JOLLY SECONDA FASCIA
Iacoponi,DA LEGHE NUMEROSE
Ibanez,SCOMMESSE
Igor,RISCHI
Ismajli,RISCHI
Izzo,JOLLY SECONDA FASCIA
Juan Jesus,RISERVE NELLE BIG
Kalulu,GIOVANISSIMI
Kjaer,BUONI TITOLARI
Klavan,RISCHI
Kolarov,JOLLY PRIMA FASCIA
Koulibaly,SEMITOP
Kumbulla,TITOLARI
Kyriakopoulos,JOLLY SECONDA FASCIA
Larsen,TITOLARI LOW COST
Laurini,RISCHI
Letizia,TITOLARI LOW COST
Lirola,JOLLY PRIMA FASCIA
Lovato,SCOMMESSE
Luiz Felipe,TITOLARI LOW COST
Luperto,DA LEGHE NUMEROSE
Lyanco,RISCHI
Lykogiannis,TITOLARI LOW COST
Magallan,DA LEGHE NUMEROSE
Maggio,DA LEGHE NUMEROSE
Magnani,RISCHI
Maksimovic,JOLLY SECONDA FASCIA
Malcuit,RISERVE NELLE BIG
