giocatore,consiglio
Audero,LOW COST SECONDA FASCIA
Consigli,BUONI PORTIERI
Cordaz,LOW COST TERZA FASCIA
Cragno,BUONI PORTIERI
Donnarumma,TOP
Dragowski,BUONI PORTIERI
Gollini,OTTIMI PORTIERI
Handanovic,TOP
Mirante/Pau Lopez,DA PRENDERE IN COPPIA
Montipò,LOW COST PRIMA FASCIA
Musso,BUONI PORTIERI
Ospina/Meret,DA PRENDERE IN COPPIA
Perin,LOW COST SECONDA FASCIA
Sepe,LOW COST PRIMA FASCIA
Silvestri,OTTIMI PORTIERI
Sirigu,BUONI PORTIERI
Skorupski,LOW COST SECONDA FASCIA
Strakosha, (Reina come secondo+++) OTTIMI PORTIERI
Szczesny, (Buffon come secondo+++)TOP
Zoet,LOW COST TERZA FASCIA
