squadra,giocatore,ruolo,quotazione,partite_giocate,gol_fatti_subiti,assist,ammonizioni,espulsioni,rigori_tirati,rigori_realizzati,rigori_sbagliati,rigori_parati,media_voto,media_magic_voto,media_punti,yyss
udinese,Gabriel Silva A.,D,4.0,11.0,,,,,,,,,5.4,5.45,,2014-15
empoli,Hysaj E.,D,9.0,36.0,,1.0,4.0,,,,,,5.81,5.78,-1.0,2014-15
genoa,Kucka J.,C,14.0,34.0,2.0,,5.0,,,,,,6.03,6.17,3.5,2014-15
atalanta,Avramov V.,P,1.0,1.0,-1.0,,,1.0,,,,,5.0,3.0,-2.0,2014-15
genoa,Lestienne M.,C,10.0,23.0,1.0,2.0,2.0,,,,,,5.72,5.97,4.0,2014-15
roma,Pjanic M.,C,19.0,34.0,5.0,5.0,9.0,,,,,,6.08,6.55,15.5,2014-15
sampdoria,Massolo S.,P,1.0,,,,,,,,,,,,,2014-15
empoli,Verdi S.,C,10.0,26.0,1.0,1.0,4.0,,,,,,5.98,6.08,2.0,2014-15
palermo,Ortiz D.,D,3.0,,,,,,,,,,,,,2014-15
milan,El Shaarawy S.,A,8.0,18.0,3.0,3.0,3.0,,,,,,6.12,6.81,10.5,2014-15
udinese,Evangelista L.,C,4.0,4.0,,,,,,,,,5.25,5.4,,2014-15
inter,Brozovic M.,C,10.0,15.0,1.0,,7.0,,,,,,5.89,5.86,-0.5,2014-15
inter,Berni T.,P,1.0,,,,,,,,,,,,,2014-15
roma,Paredes L.,C,4.0,10.0,1.0,,2.0,,,,,,5.57,5.86,2.0,2014-15
lazio,Braafheid E.,D,5.0,16.0,,1.0,1.0,,,,,,5.8,5.7,-1.5,2014-15
verona,Valoti M.,C,3.0,10.0,1.0,1.0,4.0,,,,,,6.1,6.6,2.0,2014-15
lazio,Tounkara M.,A,4.0,,,,,,,,,,,,,2014-15
lazio,Novaretti D.,D,4.0,5.0,,,1.0,1.0,,,,,5.5,5.2,-1.5,2014-15
udinese,Bochniewicz P.,D,1.0,,,,,,,,,,,6.0,,2014-15
fiorentina,Rosati A.,P,1.0,,,,,,,,,,,,,2014-15
milan,Zapata C.,D,4.0,12.0,,1.0,1.0,1.0,,,,,5.83,5.62,-2.5,2014-15
atalanta,Grassi A.,C,1.0,3.0,,,,,,,,,6.0,6.0,,2014-15
milan,Bonaventura G.,C,21.0,34.0,7.0,1.0,3.0,1.0,,,,,6.1,6.68,19.5,2014-15
sampdoria,Munoz E.,D,6.0,17.0,1.0,,3.0,,,,,,6.06,6.15,1.5,2014-15
napoli,Koulibaly K.,D,6.0,27.0,1.0,,8.0,1.0,,,,,5.81,5.74,-2.0,2014-15
