numero,giocatore,ruolo,ruolo_cod,voto,gol_fatti_subiti,assist,rigori_realizzati,rigori_sbagliati,autogol,ammonizioni,espulsioni,fantavoto,squadra,dots,yyss
0,Sportiello M.,Por,P,7.0,,,,,,,,7.0,Atalanta,1,2014-15
0,Benalouane Y.,Dif,D,6.0,,,,,,,,6.0,Atalanta,1,2014-15
0,Biava G.,Dif,D,6.0,,,,,,,,6.0,Atalanta,1,2014-15
0,Drame' B.,Dif,D,5.5,,,,,,1.0,,5.0,Atalanta,1,2014-15
0,Zappacosta D.,Dif,D,6.0,,,,,,,,6.0,Atalanta,1,2014-15
0,Carmona C.,Cen,C,6.0,,,,,,,,6.0,Atalanta,1,2014-15
0,Cigarini L.,Cen,C,6.0,,,,,,,,6.0,Atalanta,1,2014-15
0,Moralez M.,Cen,C,5.5,,,,,,,,5.5,Atalanta,1,2014-15
0,Estigarribia M.,Cen,C,6.5,,,,,,,,6.5,Atalanta,1,2014-15
0,Denis G.,Att,A,5.5,,,,,,,,5.5,Atalanta,1,2014-15
0,Spinazzola L.,Cen,C,,,,,,,,,,Atalanta,1,2014-15
0,Boakye R.,Att,A,5.0,,,,,,1.0,,4.5,Atalanta,1,2014-15
0,Bianchi R.,Att,A,6.0,,,,,,,,6.0,Atalanta,1,2014-15
0,Colombi S.,Por,P,6.5,-1.0,,,,,,,5.5,Cagliari,1,2014-15
0,Pisano F.,Dif,D,5.0,,,,,,,,5.0,Cagliari,1,2014-15
0,Avelar D.,Dif,D,6.5,,,,,,,,6.5,Cagliari,1,2014-15
0,Ceppitelli L.,Dif,D,6.0,,,,,,,,6.0,Cagliari,1,2014-15
0,Rossettini L.,Dif,D,6.0,,,,,,,,6.0,Cagliari,1,2014-15
0,Crisetig L.,Cen,C,6.5,,,,,,,,6.5,Cagliari,1,2014-15
0,Conti D.,Cen,C,7.0,,,,,,1.0,,6.5,Cagliari,1,2014-15
0,Cossu A.,Cen,C,5.5,,,,,,,,5.5,Cagliari,1,2014-15
0,Ekdal A.,Cen,C,6.0,,,,,,,,6.0,Cagliari,1,2014-15
0,Farias D.,Att,A,5.5,,,,,,,,5.5,Cagliari,1,2014-15
0,Sau M.,Att,A,6.5,1.0,,,,,,,9.5,Cagliari,1,2014-15
0,Balzano A.,Dif,D,6.5,,1.0,,,,1.0,,7.0,Cagliari,1,2014-15
0,Murru N.,Dif,D,,,,,,,,,,Cagliari,1,2014-15
0,Longo S.,Att,A,6.0,,,,,,,,6.0,Cagliari,1,2014-15
0,Leali N.,Por,P,6.5,,,,,,,,6.5,Cesena,1,2014-15
0,Renzetti F.,Dif,D,6.5,,,,,,,,6.5,Cesena,1,2014-15
0,Capelli D.,Dif,D,6.0,,,,,,,,6.0,Cesena,1,2014-15
0,Lucchini S.,Dif,D,6.5,,,,,,1.0,,6.0,Cesena,1,2014-15
0,Volta M.,Dif,D,6.5,,,,,,,,6.5,Cesena,1,2014-15
0,Coppola M.,Cen,C,6.0,,,,,,,,6.0,Cesena,1,2014-15
0,Brienza F.,Cen,C,7.0,,1.0,,,,,,8.0,Cesena,1,2014-15
0,Cascione E.,Cen,C,7.0,,,,,,,,7.0,Cesena,1,2014-15
0,De Feudis G.,Cen,C,6.0,,,,,,,,6.0,Cesena,1,2014-15
0,Rodriguez A.,Att,A,7.0,1.0,,,,,1.0,,9.5,Cesena,1,2014-15
0,Marilungo G.,Att,A,6.5,,,,,,,,6.5,Cesena,1,2014-15
0,Krajnc L.,Dif,D,,,,,,,,,,Cesena,1,2014-15
0,Perico G.,Dif,D,,,,,,,,,,Cesena,1,2014-15
0,Garritano L.,Att,A,6.0,,,,,,,,6.0,Cesena,1,2014-15
0,Bardi F.,Por,P,5.0,-1.0,,,,,,,4.0,Chievo,1,2014-15
0,Dainelli D.,Dif,D,5.5,,,,,,1.0,,5.0,Chievo,1,2014-15
0,Biraghi C.,Dif,D,5.0,,,,,1.0,,,3.0,Chievo,1,2014-15
0,Cesar B.,Dif,D,5.5,,,,,,,,5.5,Chievo,1,2014-15
0,Frey N.,Dif,D,5.5,,,,,,,,5.5,Chievo,1,2014-15
0,Mangani T.,Cen,C,5.0,,,,,,1.0,,4.5,Chievo,1,2014-15
0,Hetemaj P.,Cen,C,6.0,,,,,,,,6.0,Chievo,1,2014-15
0,Schelotto E.,Cen,C,5.0,,,,,,,,5.0,Chievo,1,2014-15
0,Izco M.,Cen,C,5.0,,,,,,,,5.0,Chievo,1,2014-15
0,Birsa V.,Cen,C,5.5,,,,,,,,5.5,Chievo,1,2014-15
0,Maxi Lopez,Att,A,5.5,,,,,,,,5.5,Chievo,1,2014-15
0,Radovanovic I.,Cen,C,5.5,,,,,,,,5.5,Chievo,1,2014-15
0,Cofie I.,Cen,C,6.0,,,,,,,,6.0,Chievo,1,2014-15
0,Paloschi A.,Att,A,5.5,,,,,,,,5.5,Chievo,1,2014-15
0,Sepe L.,Por,P,6.0,-2.0,,,,,,,4.0,Empoli,1,2014-15
0,Hysaj E.,Dif,D,6.0,,,,,,,,6.0,Empoli,1,2014-15
0,Laurini V.,Dif,D,4.5,,,,,,,,4.5,Empoli,1,2014-15
0,Tonelli L.,Dif,D,5.0,,,,,,,,5.0,Empoli,1,2014-15
0,Rugani D.,Dif,D,6.0,,,,,,,,6.0,Empoli,1,2014-15
0,Croce D.,Cen,C,6.5,,,,,,1.0,,6.0,Empoli,1,2014-15
0,Verdi S.,Cen,C,5.5,,,,,,1.0,,5.0,Empoli,1,2014-15
0,Vecino M.,Cen,C,6.0,,,,,,,,6.0,Empoli,1,2014-15
0,Valdifiori M.,Cen,C,5.5,,,,,,,,5.5,Empoli,1,2014-15
0,Mchedlidze L.,Att,A,5.5,,,,,,,,5.5,Empoli,1,2014-15
0,Tavano F.,Att,A,5.0,,,,,,,,5.0,Empoli,1,2014-15
0,Mario Rui,Dif,D,6.0,,,,,,,,6.0,Empoli,1,2014-15
0,Signorelli F.,Cen,C,6.0,,,,,,,,6.0,Empoli,1,2014-15
0,Pucciarelli M.,Cen,C,,,,,,,,,,Empoli,1,2014-15
0,Neto N.,Por,P,6.5,-2.0,,,,,,,4.5,Fiorentina,1,2014-15
0,Alonso M.,Dif,D,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
0,Rodriguez G.,Dif,D,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
0,Savic S.,Dif,D,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
0,Tomovic N.,Dif,D,6.0,,,,,,,,6.0,Fiorentina,1,2014-15
0,Borja Valero,Cen,C,6.0,,,,,,,,6.0,Fiorentina,1,2014-15
0,Vargas J.,Cen,C,5.0,,,,,,,,5.0,Fiorentina,1,2014-15
0,Pizarro D.,Cen,C,5.5,,,,,,,,5.5,Fiorentina,1,2014-15
0,Brillante J.,Cen,C,4.5,,,,,,,,4.5,Fiorentina,1,2014-15
0,Babacar K.,Att,A,5.0,,,,,,,,5.0,Fiorentina,1,2014-15
0,Gomez M.,Att,A,5.0,,,,,,,,5.0,Fiorentina,1,2014-15
0,Joaquin,Cen,C,5.5,,,,,,,,5.5,Fiorentina,1,2014-15
0,Ilicic J.,Cen,C,7.0,,,,,,,,7.0,Fiorentina,1,2014-15
0,Aquilani A.,Cen,C,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
0,Perin M.,Por,P,6.5,-2.0,,,,,,,4.5,Genoa,1,2014-15
0,Burdisso N.,Dif,D,5.0,,,,,,,,5.0,Genoa,1,2014-15
0,De Maio S.,Dif,D,6.0,,,,,,,,6.0,Genoa,1,2014-15
0,Edenilson A.,Dif,D,5.5,,,,,,,,5.5,Genoa,1,2014-15
0,Marchese G.,Dif,D,6.0,,1.0,,,,1.0,,6.5,Genoa,1,2014-15
0,Antonelli L.,Cen,C,4.5,,,,,,,,4.5,Genoa,1,2014-15
0,Kucka J.,Cen,C,6.0,,,,,,,,6.0,Genoa,1,2014-15
0,Rincon T.,Cen,C,6.0,,,,,,,,6.0,Genoa,1,2014-15
0,Sturaro S.,Cen,C,6.5,,,,,,1.0,,6.0,Genoa,1,2014-15
0,Perotti D.,Cen,C,6.5,,,,,,,,6.5,Genoa,1,2014-15
0,Pinilla M.,Att,A,7.0,1.0,,,,,,,10.0,Genoa,1,2014-15
0,Iago F.,Cen,C,5.5,,,,,,,,5.5,Genoa,1,2014-15
0,Ragusa A.,Cen,C,5.5,,,,,,1.0,,5.0,Genoa,1,2014-15
0,Mussis F.,Cen,C,5.0,,,,,,,,5.0,Genoa,1,2014-15
0,Handanovic S.,Por,P,7.0,,,1.0,,,,,10.0,Inter,1,2014-15
0,Dodo' R.,Dif,D,5.5,,,,,,,,5.5,Inter,1,2014-15
0,Ranocchia A.,Dif,D,6.0,,,,,,,,6.0,Inter,1,2014-15
0,Vidic N.,Dif,D,5.0,,,,,,,1.0,4.0,Inter,1,2014-15
0,Jonathan C.,Dif,D,6.0,,,,,,,,6.0,Inter,1,2014-15
0,Juan Jesus G.,Dif,D,6.0,,,,,,,,6.0,Inter,1,2014-15
0,Medel G.,Cen,C,6.0,,,,,,,,6.0,Inter,1,2014-15
0,M'vila Y.,Cen,C,5.0,,,,,,,,5.0,Inter,1,2014-15
0,Hernanes A.,Cen,C,6.0,,,,,,1.0,,5.5,Inter,1,2014-15
0,Kovacic M.,Cen,C,5.5,,,,,,,,5.5,Inter,1,2014-15
0,Icardi M.,Att,A,5.0,,,,,,,,5.0,Inter,1,2014-15
0,Nagatomo Y.,Dif,D,,,,,,,,,,Inter,1,2014-15
0,D'ambrosio D.,Dif,D,5.0,,,,,,,,5.0,Inter,1,2014-15
0,Osvaldo P.,Att,A,6.0,,,,,,,,6.0,Inter,1,2014-15
0,Buffon G.,Por,P,6.5,,,,,,,,6.5,Juventus,1,2014-15
0,Bonucci L.,Dif,D,6.0,,,,,,,,6.0,Juventus,1,2014-15
0,Caceres M.,Dif,D,7.0,,,,,,,,7.0,Juventus,1,2014-15
0,Lichtsteiner S.,Dif,D,7.0,,,,,,,,7.0,Juventus,1,2014-15
0,Ogbonna A.,Dif,D,6.0,,,,,,,,6.0,Juventus,1,2014-15
0,Asamoah K.,Cen,C,6.0,,,,,,,,6.0,Juventus,1,2014-15
0,Coman K.,Cen,C,7.0,,,,,,,,7.0,Juventus,1,2014-15
0,Vidal A.,Cen,C,6.5,,,,,,1.0,,6.0,Juventus,1,2014-15
0,Pogba P.,Cen,C,7.0,,,,,,,,7.0,Juventus,1,2014-15
0,Marchisio C.,Cen,C,6.5,,,,,,,,6.5,Juventus,1,2014-15
0,Tevez C.,Att,A,6.5,,,,,,,,6.5,Juventus,1,2014-15
0,Pereyra R.,Cen,C,,,,,,,,,,Juventus,1,2014-15
0,Llorente F.,Att,A,6.0,,,,,,,,6.0,Juventus,1,2014-15
0,Berisha E.,Por,P,6.0,-3.0,,,,,,,3.0,Lazio,1,2014-15
0,Basta D.,Dif,D,5.0,,,,,,,,5.0,Lazio,1,2014-15
0,Cana L.,Dif,D,5.5,,,,,,,,5.5,Lazio,1,2014-15
0,De Vrij S.,Dif,D,4.5,,,,,,1.0,,4.0,Lazio,1,2014-15
0,Radu S.,Dif,D,5.5,,,,,,1.0,,5.0,Lazio,1,2014-15
0,Biglia L.,Cen,C,6.0,,,,,,,,6.0,Lazio,1,2014-15
0,Candreva A.,Cen,C,5.5,,,,1.0,,,,2.5,Lazio,1,2014-15
0,Parolo M.,Cen,C,5.0,,,,,,,,5.0,Lazio,1,2014-15
0,Lulic S.,Cen,C,5.5,,,,,,1.0,,5.0,Lazio,1,2014-15
0,Keita B.,Att,A,5.5,,,,,,,,5.5,Lazio,1,2014-15
