,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
11924,6,DEL PINTO L,Benevento,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
18351,6,GAKPE S,Genoa,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8340,6,ROGERIO O,Sassuolo,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
18308,6,FLOCCARI S,Spal,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
21285,6,ALLEGRI,Juventus,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3306,6,BIANCHETTI M,Verona,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
19732,6,PALACIO R,Bologna,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8370,6,ROMAGNA F,Cagliari,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
14540,6,MONTOLIVO R,Milan,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
937,6,HANDANOVIC S,Inter,P,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2017-18
9929,6,ANTONINI LM,Cagliari,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5753,6,HATEBOER H,Atalanta,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
859,6,GOMIS A,Spal,P,4.0,7.0,-3.0,0.0,0.0,0.0,0.0,0.0,2017-18
10006,6,ARTIOLI F,Spal,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10974,6,CALHANOGLU H,Milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3270,6,BERESZYNSKI B,Sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
11013,6,CANDREVA A,Inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1023,6,KRAPIKAS T,Sampdoria,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8462,6,ROMULO ,Verona,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
19822,6,PALOSCHI A,Spal,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
13367,6,IZCO M,Crotone,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
16343,6,VALOTI M,Verona,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
908,6,GUERRIERI G,Lazio,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
21322,6,BARONI,Benevento,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
21335,6,BUCCHI,Sassuolo,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
21409,6,DELNERI,Udinese,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
15295,6,RADOVANOVIC I,Chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
15263,6,PULGAR E,Bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3441,6,BOCCAFOGLIA g,Spal,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8554,6,ROSSETTINI L,Genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5612,6,GOMEZ G,Milan,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
11889,6,DEIOLA A,Cagliari,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
16305,6,VALERO B,Inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
11860,6,DE ROSSI D,Roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
983,6,ICHAZO S,Torino,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
18264,6,FARIAS D,Cagliari,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5738,6,GYAMFI B,Benevento,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5561,6,GOLDANIGA E,Sassuolo,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
18372,6,GALABINOV A,Genoa,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5709,6,GRAVILLON A,Benevento,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
12741,6,GERSON ,Roma,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
18247,6,FALCINELLI D,Sassuolo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
12797,6,GIACCHERINI E,Napoli,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8412,6,ROMAGNOLI A,Milan,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
16275,6,VALENCIA J,Bologna,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3395,6,BIRASCHI d,Genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
19781,6,PALOMBI S,Lazio,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
16443,6,VERETOUT J,Fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9968,6,ARAMU M,Torino,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5647,6,GONZALEZ G,Bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
14575,6,MORA L,Spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
