,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
3508,11,patric,lazio,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4355,11,acquah a,empoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3962,11,samir,udinese,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10639,11,ancelotti,napoli,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11325,11,ventura,chievo,0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10503,11,zapata d,atalanta,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
10645,11,andreazzoli,empoli,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
360,11,musso j,udinese,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
11299,11,spalletti,inter,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3221,11,milenkovic n,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
287,11,lafont a,fiorentina,P,4.5,5.5,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
3479,11,pasqual m,empoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10085,11,pussetto i,udinese,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
11317,11,velazquez,udinese,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4119,11,tanasijevic s,chievo,D,3.5,4.5,0.0,0.0,-1.0,0.0,0.0,0.0,2018-19
10846,11,gasperini,atalanta,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
535,11,sepe l,parma,P,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4127,11,ter avest,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3548,11,pereira p,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4108,11,srna d,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
52,11,berisha e,atalanta,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
10816,11,di francesco,roma,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3816,11,romero c,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10566,11,zaza s,torino,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3384,11,n koulou n,torino,D,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3420,11,opoku n,udinese,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4266,11,wallace o,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
86,11,consigli a,sassuolo,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
4222,11,vicari f,spal,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11016,11,inzaghi s,lazio,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3288,11,murru n,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3745,11,rogerio o,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11063,11,maran,cagliari,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10261,11,sau m,cagliari,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
