,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,ass,yyss
247,27,gollini p,atalanta,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
11336,27,juric,verona,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11658,27,sarri,juventus,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11377,27,liverani,lecce,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8119,27,soriano r,bologna,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9191,27,cornelius a,parma,A,18.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,2019-20
10036,27,mertens d,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10510,27,rebic a,milan,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8272,27,tachtsidis p,lecce,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9324,27,dybala p,juventus,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
11502,27,mihajlovic,bologna,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9264,27,destro m,genoa,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8728,27,zaccagni m,verona,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11198,27,gasperini,atalanta,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8240,27,svanberg m,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11120,27,di biagio,spal,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8450,27,valero b,inter,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
208,27,gabriel f,lecce,P,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,2019-20
10941,27,zaza s,torino,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11713,27,zenga,cagliari,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7951,27,ruiz f,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9284,27,di carmine s,verona,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9889,27,leao r,milan,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
10399,27,pinamonti a,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10072,27,milik a,napoli,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9592,27,haraslin l,sassuolo,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8529,27,veloso m,verona,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7920,27,romulo,brescia,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8100,27,shakhov y,lecce,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10922,27,zapata d,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
346,27,letica k,spal,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
10248,27,palacio r,bologna,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8611,27,veretout j,roma,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9733,27,insigne l,napoli,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9561,27,gervinho,parma,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
686,27,strakosha t,lazio,P,2.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8893,27,babacar k,lecce,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11075,27,d aversa,parma,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9933,27,lozano h,napoli,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8107,27,skrabb s,brescia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
429,27,olsen r,cagliari,P,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11105,27,de zerbi,sassuolo,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9752,27,kalinic n,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8982,27,berardi d,sassuolo,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
385,27,musso j,udinese,P,4.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
10788,27,sottil r,fiorentina,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9586,27,ghezzal r,fiorentina,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9416,27,falco f,lecce,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10129,27,nestorovski i,udinese,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10652,27,sansone n,bologna,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11544,27,nicola,genoa,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8619,27,verre v,verona,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9180,27,cerri a,spal,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10627,27,sanchez a,inter,A,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
825,27,aina o,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9463,27,favilli a,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10583,27,salcedo e,verona,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
333,27,joronen j,brescia,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
9235,27,cutrone p,fiorentina,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
104,27,consigli a,sassuolo,P,4.5,7.5,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9992,27,martinez l,inter,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8944,27,belotti a,torino,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
10982,27,conte,inter,0,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10102,27,muriel l,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10437,27,politano m,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8337,27,tonali s,brescia,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
