code,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
3737,1,tomovic n,fiorentina,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
3034,1,paletta g,milan,D,4.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,2016-17
7738,1,destro m,bologna,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
7722,1,defrel g,sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1275,1,biraghi c,pescara,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7693,1,chiesa f,fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
254,1,handanovic s,inter,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2016-17
2997,1,oikonomou m,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7806,1,djordjevic f,lazio,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9298,1,quagliarella f,sampdoria,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1321,1,bonucci l,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7610,1,candreva a,inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7581,1,callejon j,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4968,1,digennaro d,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3979,1,acquah a,torino,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2971,1,nagatomo y,inter,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2965,1,murru n,cagliari,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7641,1,caprari g,pescara,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
7538,1,boye' l,torino,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7829,1,dybala p,juventus,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4849,1,de paul r,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1058,1,antonelli l,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4712,1,cristante b,pescara,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1065,1,astori d,fiorentina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3559,1,sampirisi m,crotone,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8067,1,gabbiadini m,napoli,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9237,1,politano m,sassuolo,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3110,1,pavlovic d,sampdoria,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
7838,1,dzeko e,roma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
4741,1,croce d,empoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1141,1,barzagli a,juventus,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
9255,1,pucciarelli m,empoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4002,1,allan m,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3072,1,pasqual m,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7926,1,el sharaawy s,roma,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1172,1,basta d,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7884,1,eder c,inter,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4804,1,d'alessandro m,atalanta,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1054,1,antei l,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1373,1,burdisso n,genoa,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
3968,1,zuparic d,pescara,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9416,1,schick p,sampdoria,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7205,1,verre v,pescara,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1574,1,cesar b,chievo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1589,1,chiellini g,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2845,1,molinaro c,torino,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5239,1,gazzi a,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7134,1,vecino m,fiorentina,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
7210,1,vives g,torino,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1618,1,cionek t,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
