,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
11176,2,gasperini,atalanta,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2485,2,gunter k,verona,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10684,2,santander f,bologna,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9777,2,kouame c,genoa,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8141,2,soriano r,bologna,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
10307,2,pandev g,genoa,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
814,2,aina o,torino,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5397,2,castrovilli g,fiorentina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7175,2,milinkovic s,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10345,2,petagna a,spal,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9300,2,donnarumma al,brescia,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6296,2,jajalo m,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7414,2,paqueta,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1558,2,colley o,sampdoria,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6161,2,henderson l,verona,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
523,2,radu i,genoa,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
7841,2,ribery f,fiorentina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3764,2,ranieri l,fiorentina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3652,2,pezzella ger,fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8649,2,vieira r,sampdoria,C,3.5,4.5,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
1444,2,ceppitelli l,cagliari,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
8006,2,schone l,genoa,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
417,2,olsen r,cagliari,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
697,2,strakosha t,lazio,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
10259,2,palacio r,bologna,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6468,2,kluivert j,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5488,2,cigarini l,cagliari,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1213,2,bonifazi k,torino,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
1339,2,calabria d,milan,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2772,2,koulibaly k,napoli,D,2.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,2019-20
7934,2,romulo,genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8145,2,spalek n,brescia,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3988,2,rrahmani a,verona,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5307,2,candreva a,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2768,2,kolarov a,roma,D,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
5146,2,borini f,milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6326,2,jankto j,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6228,2,ilicic j,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7940,2,ruiz f,napoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9677,2,immobile c,lazio,A,7.0,6.5,0.0,-0.5,0.0,0.0,0.0,1.0,2019-20
6460,2,khedira s,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9710,2,insigne l,napoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3635,2,peluso f,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
