,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,57,Sportiello M.,Por,P,5.5,-4.0,,,,,,,1.5,Atalanta,23,2014-15
1,22,Zappacosta D.,Dif,D,6.5,,,,,,,,6.5,Atalanta,23,2014-15
2,2,Stendardo G.,Dif,D,5.5,,,,,,,,5.5,Atalanta,23,2014-15
3,13,Masiello A.,Dif,D,5.0,,,,,,,,5.0,Atalanta,23,2014-15
4,6,Bellini G.,Dif,D,4.5,,,,,,,,4.5,Atalanta,23,2014-15
5,29,Benalouane Y.,Dif,D,4.0,,,,,,,1.0,3.0,Atalanta,23,2014-15
6,21,Cigarini L.,Cen,C,6.0,,,,,,,,6.0,Atalanta,23,2014-15
7,17,Carmona C.,Cen,C,5.5,,,,,,1.0,,5.0,Atalanta,23,2014-15
8,10,Gomez A.,Cen,C,5.5,,,,,,,,5.5,Atalanta,23,2014-15
9,11,Moralez M.,Cen,C,6.5,1.0,,,,,1.0,,9.0,Atalanta,23,2014-15
10,51,Pinilla M.,Att,A,5.5,,1.0,,,,1.0,,6.0,Atalanta,23,2014-15
11,82,Emanuelson U.,Dif,D,5.5,,,,,,,,5.5,Atalanta,23,2014-15
12,16,Baselli D.,Cen,C,6.0,,,,,,,,6.0,Atalanta,23,2014-15
13,19,Denis G.,Att,A,5.5,,,,,,,,5.5,Atalanta,23,2014-15
0,1,Brkic Z.,Por,P,7.0,-1.0,,,,,,,6.0,Cagliari,23,2014-15
1,15,Rossettini L.,Dif,D,6.0,,,,,,1.0,,5.5,Cagliari,23,2014-15
2,8,Avelar D.,Dif,D,5.0,,,,,,,,5.0,Cagliari,23,2014-15
3,33,Capuano M.,Dif,D,6.0,,,,,,,,6.0,Cagliari,23,2014-15
4,5,Conti D.,Cen,C,6.5,,,,,,1.0,,6.0,Cagliari,23,2014-15
5,7,Cossu A.,Cen,C,7.0,,,,,,,,7.0,Cagliari,23,2014-15
6,30,Donsah G.,Cen,C,7.5,1.0,,,,,,,10.5,Cagliari,23,2014-15
7,16,Dessena D.,Cen,C,6.5,,,,,,,,6.5,Cagliari,23,2014-15
8,20,Ekdal A.,Cen,C,6.5,,,,,,,,6.5,Cagliari,23,2014-15
9,25,Sau M.,Att,A,6.0,,,,,,,,6.0,Cagliari,23,2014-15
10,90,Cop D.,Att,A,5.5,,,,,,,,5.5,Cagliari,23,2014-15
11,10,Joao Pedro G.,Cen,C,6.0,,,,,,1.0,,5.5,Cagliari,23,2014-15
12,0,Mpoku P.,Cen,C,6.0,,,,,,,,6.0,Cagliari,23,2014-15
13,9,Longo S.,Att,A,,,,,,,,,,Cagliari,23,2014-15
0,1,Leali N.,Por,P,6.5,-2.0,,,,,,,4.5,Cesena,23,2014-15
1,33,Renzetti F.,Dif,D,6.5,,,,,,,,6.5,Cesena,23,2014-15
2,6,Lucchini S.,Dif,D,5.0,,,,,,,,5.0,Cesena,23,2014-15
3,24,Perico G.,Dif,D,5.0,,,,,,1.0,,4.5,Cesena,23,2014-15
4,15,Krajnc L.,Dif,D,5.5,,,,,,,,5.5,Cesena,23,2014-15
5,11,Brienza F.,Cen,C,7.5,1.0,,,,,,,10.5,Cesena,23,2014-15
6,5,Giorgi L.,Cen,C,6.0,,,,,,,,6.0,Cesena,23,2014-15
7,8,De Feudis G.,Cen,C,6.0,,,,,,,,6.0,Cesena,23,2014-15
8,77,Ze Eduardo,Cen,C,6.0,,,,,,,,6.0,Cesena,23,2014-15
9,92,Defrel G.,Att,A,7.0,,1.0,,,,,,8.0,Cesena,23,2014-15
10,18,Djuric M.,Att,A,7.5,1.0,,,,,,,10.5,Cesena,23,2014-15
11,2,Nica C.,Dif,D,6.5,,,,,,1.0,,6.0,Cesena,23,2014-15
12,7,Carbonero C.,Cen,C,,,,,,,,,,Cesena,23,2014-15
13,9,Rodriguez A.,Att,A,,,,,,,,,,Cesena,23,2014-15
0,1,Bizzarri A.,Por,P,6.0,-1.0,,,,,1.0,,4.5,Chievo,23,2014-15
1,12,Cesar B.,Dif,D,7.0,,,,,,,,7.0,Chievo,23,2014-15
2,3,Dainelli D.,Dif,D,7.0,,,,,,,,7.0,Chievo,23,2014-15
3,21,Frey N.,Dif,D,6.0,,,,,,,,6.0,Chievo,23,2014-15
4,87,Zukanovic E.,Dif,D,6.0,,,,,,,,6.0,Chievo,23,2014-15
5,56,Hetemaj P.,Cen,C,6.0,,,,,,1.0,,5.5,Chievo,23,2014-15
6,24,Schelotto E.,Cen,C,6.0,,,,,,,,6.0,Chievo,23,2014-15
7,23,Birsa V.,Cen,C,7.0,,,,,,,,7.0,Chievo,23,2014-15
8,13,Izco M.,Cen,C,6.5,1.0,,,,,,,9.5,Chievo,23,2014-15
9,69,Meggiorini R.,Att,A,6.5,1.0,,,,,,,9.5,Chievo,23,2014-15
10,19,Botta R.,Att,A,6.5,,,,,,1.0,,6.0,Chievo,23,2014-15
11,5,Gamberini A.,Dif,D,,,,,,,,,,Chievo,23,2014-15
12,38,Mattiello F.,Cen,C,6.0,,,,,,,,6.0,Chievo,23,2014-15
13,43,Paloschi A.,Att,A,5.5,,,,,,,,5.5,Chievo,23,2014-15
0,33,Sepe L.,Por,P,6.0,-1.0,,,,,,,5.0,Empoli,23,2014-15
1,23,Hysaj E.,Dif,D,6.5,,1.0,,,,,,7.5,Empoli,23,2014-15
2,21,Mario Rui,Dif,D,7.0,,,,,,,,7.0,Empoli,23,2014-15
3,26,Tonelli L.,Dif,D,7.0,,,,,,1.0,,6.5,Empoli,23,2014-15
4,24,Rugani D.,Dif,D,6.5,,,,,,,,6.5,Empoli,23,2014-15
5,27,Zielinski P.,Cen,C,6.5,,,,,,,,6.5,Empoli,23,2014-15
6,6,Valdifiori M.,Cen,C,7.0,,,,,,,,7.0,Empoli,23,2014-15
7,20,Pucciarelli M.,Cen,C,6.0,,,,,,,,6.0,Empoli,23,2014-15
8,11,Croce D.,Cen,C,6.5,,,,,,,,6.5,Empoli,23,2014-15
9,88,Vecino M.,Cen,C,6.0,,,,,,,,6.0,Empoli,23,2014-15
10,7,Maccarone M.,Att,A,7.0,1.0,,,,,,,10.0,Empoli,23,2014-15
11,18,Verdi S.,Cen,C,6.0,,,,,,1.0,,5.5,Empoli,23,2014-15
12,8,Signorelli F.,Cen,C,,,,,,,,,,Empoli,23,2014-15
13,10,Tavano F.,Att,A,6.0,,,,,,,,6.0,Empoli,23,2014-15
0,12,Tatarusanu C.,Por,P,5.5,-1.0,,,,,,,4.5,Fiorentina,23,2014-15
1,15,Savic S.,Dif,D,7.0,,,,,,1.0,,6.5,Fiorentina,23,2014-15
2,2,Rodriguez G.,Dif,D,6.5,,,,,,,,6.5,Fiorentina,23,2014-15
3,28,Alonso M.,Dif,D,5.5,,,,,,1.0,,5.0,Fiorentina,23,2014-15
4,4,Richards M.,Dif,D,6.5,,,,,,,,6.5,Fiorentina,23,2014-15
5,0,Salah M.,Cen,C,7.0,1.0,,,,,,,10.0,Fiorentina,23,2014-15
6,7,Pizarro D.,Cen,C,7.0,,1.0,,,,,,8.0,Fiorentina,23,2014-15
7,18,Diamanti A.,Cen,C,6.0,,,,,,,,6.0,Fiorentina,23,2014-15
8,14,Fernandez M.,Cen,C,6.0,,,,,,,,6.0,Fiorentina,23,2014-15
9,16,Kurtic J.,Cen,C,6.0,,,,,,,,6.0,Fiorentina,23,2014-15
10,30,Babacar K.,Att,A,8.0,2.0,1.0,,,,,,15.0,Fiorentina,23,2014-15
11,72,Ilicic J.,Cen,C,,,,,,,,,,Fiorentina,23,2014-15
12,10,Aquilani A.,Cen,C,6.0,,,,,,,,6.0,Fiorentina,23,2014-15
13,9,Gilardino A.,Att,A,6.0,,,,,,,,6.0,Fiorentina,23,2014-15
0,1,Perin M.,Por,P,6.5,-2.0,,,,,,,4.5,Genoa,23,2014-15
1,21,Edenilson A.,Dif,D,6.5,,1.0,,,,,,7.5,Genoa,23,2014-15
2,4,De Maio S.,Dif,D,6.0,,,,,,,,6.0,Genoa,23,2014-15
3,14,Roncaglia F.,Dif,D,6.0,,,,,,,,6.0,Genoa,23,2014-15
4,5,Izzo A.,Dif,D,5.5,,,,,,,,5.5,Genoa,23,2014-15
5,24,Iago F.,Cen,C,7.0,,2.0,,,,,,9.0,Genoa,23,2014-15
6,0,Bergdich Z.,Cen,C,6.0,,,,,,,,6.0,Genoa,23,2014-15
7,33,Kucka J.,Cen,C,6.0,,,,,,1.0,,5.5,Genoa,23,2014-15
8,10,Perotti D.,Cen,C,7.0,1.0,,,,,,,10.0,Genoa,23,2014-15
9,91,Bertolacci A.,Cen,C,6.5,1.0,,,,,,,9.5,Genoa,23,2014-15
10,11,Niang M.,Att,A,7.5,2.0,,,,,,,13.5,Genoa,23,2014-15
11,93,Laxalt D.,Cen,C,6.5,,,,,,1.0,,6.0,Genoa,23,2014-15
12,38,Mandragora R.,Cen,C,,,,,,,,,,Genoa,23,2014-15
13,14,Pavoletti L.,Att,A,6.0,,,,,,,,6.0,Genoa,23,2014-15
0,1,Handanovic S.,Por,P,6.0,-1.0,,,,,,,5.0,Inter,23,2014-15
1,14,Campagnaro H.,Dif,D,6.0,,,,,,,,6.0,Inter,23,2014-15
2,23,Ranocchia A.,Dif,D,6.0,,,,,,,,6.0,Inter,23,2014-15
3,0,Santon D.,Dif,D,7.0,,,,,,,,7.0,Inter,23,2014-15
4,5,Juan Jesus G.,Dif,D,6.0,,,,,,1.0,,5.5,Inter,23,2014-15
5,77,Brozovic M.,Cen,C,6.5,,,,,,,,6.5,Inter,23,2014-15
6,13,Guarin F.,Cen,C,8.0,2.0,,,,,,,14.0,Inter,23,2014-15
7,18,Medel G.,Cen,C,7.0,,,,,,,,7.0,Inter,23,2014-15
8,91,Shaqiri X.,Cen,C,7.0,1.0,,1.0,,,1.0,,9.5,Inter,23,2014-15
9,11,Podolski L.,Att,A,5.0,,,,,,,,5.0,Inter,23,2014-15
10,8,Palacio R.,Att,A,5.5,1.0,,,,,,,8.5,Inter,23,2014-15
11,10,Kovacic M.,Cen,C,6.0,,,,,,,,6.0,Inter,23,2014-15
12,88,Hernanes A.,Cen,C,6.0,,,,,,,,6.0,Inter,23,2014-15
13,17,Kuzmanovic Z.,Cen,C,,,,,,,,,,Inter,23,2014-15
0,1,Buffon G.,Por,P,6.5,-2.0,,,,,,,4.5,Juventus,23,2014-15
1,33,Evra P.,Dif,D,5.5,,,,,,,,5.5,Juventus,23,2014-15
2,26,Lichtsteiner S.,Dif,D,5.0,,,,,,1.0,,4.5,Juventus,23,2014-15
3,5,Ogbonna A.,Dif,D,5.5,,,,,,,,5.5,Juventus,23,2014-15
4,19,Bonucci L.,Dif,D,5.0,,,,,,1.0,,4.5,Juventus,23,2014-15
5,23,Vidal A.,Cen,C,5.5,,,,1.0,,,,2.5,Juventus,23,2014-15
6,8,Marchisio C.,Cen,C,6.5,1.0,,,,,,,9.5,Juventus,23,2014-15
7,21,Pirlo A.,Cen,C,5.0,,,,,,,,5.0,Juventus,23,2014-15
8,6,Pogba P.,Cen,C,5.5,,1.0,,,,,,6.5,Juventus,23,2014-15
9,9,Morata A.,Att,A,6.5,1.0,,,,,,,9.5,Juventus,23,2014-15
10,14,Llorente F.,Att,A,5.5,,,,,,,,5.5,Juventus,23,2014-15
11,11,Coman K.,Cen,C,,,,,,,,,,Juventus,23,2014-15
12,7,Pepe S.,Cen,C,,,,,,,,,,Juventus,23,2014-15
13,37,Pereyra R.,Cen,C,5.5,,,,,,,,5.5,Juventus,23,2014-15
0,1,Berisha E.,Por,P,7.0,,,,,,,,7.0,Lazio,23,2014-15
