,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
6029,18,ledesma cristian,lecce,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
3200,18,pisano marco,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2258,18,gastaldello daniele,siena,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
4580,18,cambiasso esteban,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1060,18,bizera emerson j. b.,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1619,18,cottafava marcello,treviso,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
7006,18,santana mario alberto,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6079,18,liverani fabio,lazio,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
7054,18,seedorf clarence,milan,C,7.5,7.5,0.0,0.0,0.0,0.0,0.0,2005-06
2204,18,galante fabio,livorno,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5533,18,foggia pasquale,ascoli,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
1642,18,couto fernando,parma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1071,18,bonera daniele,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
7965,18,borriello marco,sampdoria,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
7369,18,valdes jaime,lecce,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5070,18,de ascentis diego,livorno,C,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
4903,18,cozza francesco,reggina,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,2005-06
5549,18,franceschini daniele,chievo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2232,18,gamberini alessandro,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6160,18,manfredini christian,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3062,18,parisi alessandro,messina,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
