,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
4178,26,zanetti j,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
1990,26,falcone,parma,D,3.5,5.5,0.0,0.0,0.0,0.0,-2.0,0.0,2007-08
6116,26,gourcuff,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9961,26,pazzini,fiorentina,A,6.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2007-08
9522,26,lucarelli c,parma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
3374,26,pisano m,torino,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
5364,26,de ceglie,siena,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
5690,26,fabiano,genoa,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2007-08
3927,26,terlizzi,catania,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
1333,26,capelli,atalanta,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
8358,26,ziegler,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
8738,26,cassano,sampdoria,A,7.0,5.0,3.0,0.0,-1.0,0.0,0.0,0.0,2007-08
1979,26,dossena,udinese,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
6276,26,inler,udinese,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
5998,26,gattuso,milan,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
4543,26,barreto e,reggina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
10033,26,quagliarella,udinese,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2007-08
7266,26,nocerino,juventus,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
3763,26,savini,napoli,D,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
10506,26,tristan,livorno,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
6265,26,hamsik,napoli,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
