,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
3637,2,SILVESTRE,CATANIA,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
3750,2,STENDARDO,LECCE,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
8424,2,AMAURI,JUVENTUS,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2008-09
925,2,ASTORI,CAGLIARI,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
1415,2,CESAR,CHIEVO,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2008-09
516,2,JULIO CESAR,INTER,P,5.0,,-1.0,0.0,0.0,0.0,0.0,0.0,2008-09
6934,2,MONTOLIVO,FIORENTINA,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2008-09
4743,2,CAMBIASSO,INTER,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
7225,2,PADOIN,ATALANTA,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
5277,2,DELVECCHIO,SAMPDORIA,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
2570,2,MALAGO',CHIEVO,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
2669,2,MANTOVANI,CHIEVO,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
3094,2,PIERI,SAMPDORIA,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
2660,2,MANFREDINI T,ATALANTA,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2008-09
1426,2,CHIELLINI,JUVENTUS,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
8698,2,CALAIO',SIENA,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2008-09
6676,2,MARCOLINI,CHIEVO,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
6227,2,KAKA',MILAN,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2008-09
8938,2,DEL PIERO,JUVENTUS,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
3822,2,TERLIZZI,CATANIA,D,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,2008-09
8949,2,DENIS,NAPOLI,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
5135,2,D'ANNA,CHIEVO,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
9600,2,MARAZZINA,BOLOGNA,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
733,2,SERENI,TORINO,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2008-09
5212,2,DE ROSSI,ROMA,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
1468,2,CICINHO,ROMA,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
9627,2,MARTINEZ J,CATANIA,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
9259,2,IAQUINTA,JUVENTUS,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
9663,2,MASCARA,CATANIA,A,4.5,6.5,0.0,0.0,0.0,0.0,-2.0,0.0,2008-09
6074,2,ITALIANO,CHIEVO,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
5435,2,DONI C,ATALANTA,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2008-09
8343,2,ABBRUSCATO,TORINO,A,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
991,2,BELLINI,ATALANTA,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
1198,2,BURDISSO,INTER,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
4938,2,CODREA,SIENA,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
2563,2,MAICON,INTER,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2008-09
7265,2,PALLADINO,GENOA,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
1528,2,CODA,UDINESE,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
6637,2,MARCHIONNI,JUVENTUS,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
9705,2,MATRI,CAGLIARI,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
2225,2,GRYGERA,JUVENTUS,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
9010,2,DI VAIO,BOLOGNA,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
5248,2,DE SILVESTRI,LAZIO,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
3845,2,TERZI,BOLOGNA,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
7278,2,PALOMBO,SAMPDORIA,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
8979,2,DI NATALE,UDINESE,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
1021,2,BIANCO,CAGLIARI,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2008-09
