,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
7399,25,pellegrini l,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3301,25,paletta g,milan,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3265,25,orban l,genoa,D,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2016-17
1008,25,alves d,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3234,25,oikonomou m,bologna,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4846,25,birsa v,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9331,25,ilicic j,fiorentina,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3194,25,murru n,cagliari,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
5151,25,crisetig l,crotone,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8585,25,balogh n,palermo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9648,25,maccarone m,empoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8849,25,defrel g,sassuolo,A,13.5,7.5,6.0,0.0,0.0,0.0,0.0,0.0,2016-17
1024,25,andelkovic s,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5184,25,cristante b,atalanta,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5207,25,cristoforo s,fiorentina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7899,25,saponara r,fiorentina,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3655,25,rosi a,crotone,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
619,25,sorrentino s,chievo,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2016-17
10427,25,sallai r,palermo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10442,25,sau m,cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3321,25,pasqual m,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10316,25,quagliarella f,sampdoria,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2016-17
5540,25,diousse a,empoli,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
7161,25,nainggolan r,roma,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
8746,25,callejon j,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
703,25,szczesny w,roma,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17
681,25,strakosha t,lazio,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17
6909,25,medel g,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10365,25,ricci f,sassuolo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7372,25,pasalic m,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5038,25,castro l,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3100,25,moretti e,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3435,25,peres b,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8608,25,belotti a,torino,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5332,25,de guzman j,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2947,25,masiello a,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
908,25,aleesami h,palermo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
544,25,reina p,napoli,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17
7972,25,stoian a,crotone,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4977,25,candreva a,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
833,25,acerbi f,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9408,25,inglese r,chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10385,25,salah m,roma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
3500,25,radu s,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3054,25,miranda j,inter,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
7948,25,spinazzola l,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9552,25,keita b,lazio,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
5357,25,de paul r,udinese,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
10507,25,simeone g,genoa,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7848,25,sanchez c,fiorentina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9387,25,immobile c,lazio,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
