,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
11063,16,d aversa,parma,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3133,16,manolas k,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2023,16,di lorenzo g,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4807,16,barilla a,parma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10428,16,politano m,inter,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6402,16,jony r,lazio,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
4587,16,agoume l,inter,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3475,16,nuytinck b,udinese,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1455,16,cetin m,roma,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
353,16,meret a,napoli,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
1263,16,bremer g,torino,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
531,16,rafael a,cagliari,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
9279,16,di carmine s,verona,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6424,16,kessie f,milan,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10105,16,muriel l,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4866,16,benassi m,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10362,16,petagna a,spal,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
3811,16,rispoli a,lecce,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5802,16,djuricic f,sassuolo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9186,16,cleonise d,genoa,A,,,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5783,16,diawara a,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9161,16,castillejo s,milan,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3156,16,marlon,sassuolo,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5000,16,bernardeschi f,juventus,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2152,16,ekong t,udinese,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6152,16,grassi a,parma,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
207,16,gabriel f,lecce,P,1.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
6047,16,freuler r,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1217,16,bonucci l,juventus,D,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
81,16,buffon g,juventus,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
6018,16,fofana s,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10266,16,paloschi a,spal,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1823,16,de ligt,juventus,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3455,16,n koulou n,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5680,16,de roon m,atalanta,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8922,16,barrow m,atalanta,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
4674,16,amrabat s,verona,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
3521,16,palomino j,atalanta,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5995,16,farago p,cagliari,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5708,16,deiola a,cagliari,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1183,16,biraschi d,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4837,16,baselli d,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3517,16,pajac m,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1826,16,de maio s,udinese,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1401,16,castagne t,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6189,16,hernani j,parma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3045,16,lykogiannis c,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10392,16,pinamonti a,genoa,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10214,16,orsolini r,bologna,A,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5066,16,bisoli d,brescia,C,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
3868,16,romagna f,sassuolo,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11352,16,juric,verona,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8992,16,berardi d,sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1738,16,danilo l,bologna,D,6.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
2102,16,djimsiti b,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4716,16,badelj m,fiorentina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8955,16,belotti a,torino,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10226,16,palacio r,bologna,A,10.0,7.5,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1650,16,dalbert h,fiorentina,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
11677,16,semplici,spal,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3183,16,martella b,brescia,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9014,16,boateng kp,fiorentina,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11087,16,de zerbi,sassuolo,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
295,16,handanovic s,inter,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
612,16,sirigu s,torino,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9099,16,caprari g,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4636,16,alberto l,lazio,C,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
3888,16,romagnoli a,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1468,16,chancellor j,brescia,D,10.0,7.5,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
572,16,silvestri m,verona,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
5880,16,dzemaili b,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10146,16,nestorovski i,udinese,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10790,16,stepinski m,verona,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8879,16,babacar k,lecce,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3,16,alfonso e,brescia,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2988,16,luiz felipe,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1290,16,cacciatore f,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6375,16,joao pedro,cagliari,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
565,16,sepe l,parma,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
9126,16,caputo f,sassuolo,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4639,16,allan m,napoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8914,16,balotelli m,brescia,A,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5901,16,ekdal a,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11324,16,inzaghi s,lazio,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6265,16,ionita a,cagliari,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5969,16,eysseric v,fiorentina,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5649,16,de paul r,udinese,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3012,16,luperto s,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1753,16,darmian m,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6276,16,jagiello f,genoa,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10169,16,okaka s,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9068,16,caicedo f,lazio,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10381,16,piatek k,milan,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10741,16,simeone g,cagliari,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
