giocatore;ruolo;squadra;pr;fv;fv_hat;metric;metric_norm;q
zaccagni m;C;verona;89,47368421052632;7,0;0,3684210526315789;32,963988919667585;0,8947368421052632;3
pellegrini lo;C;roma;94,73684210526315;6,5;0,34210526315789475;32,40997229916897;0,8796992481203008;3
soriano r;C;bologna;94,73684210526315;6,5;0,34210526315789475;32,40997229916897;0,8796992481203008;3
veretout j;C;roma;89,47368421052632;6,5;0,34210526315789475;30,60941828254848;0,830827067669173;3
amrabat s;C;fiorentina;94,73684210526315;6,0;0,3157894736842105;29,916897506925203;0,8120300751879699;3
rincon t;C;torino;94,73684210526315;6,0;0,3157894736842105;29,916897506925203;0,8120300751879699;3
ionita a;C;benevento;100,0;5,5;0,2894736842105263;28,947368421052634;0,7857142857142858;3
jankto j;C;sampdoria;84,21052631578948;6,5;0,34210526315789475;28,80886426592798;0,7819548872180453;3
lukic s;C;torino;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
tameze a;C;verona;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
thorsby m;C;sampdoria;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
malinovskyi r;C;atalanta;78,94736842105263;6,5;0,34210526315789475;27,00831024930748;0,7330827067669174;3
lerager l;C;genoa;84,21052631578948;6,0;0,3157894736842105;26,59279778393352;0,7218045112781956;3
damsgaard m;C;sampdoria;84,21052631578948;6,0;0,3157894736842105;26,59279778393352;0,7218045112781956;3
alberto l;C;lazio;84,21052631578948;6,0;0,3157894736842105;26,59279778393352;0,7218045112781956;3
schouten j;C;bologna;84,21052631578948;6,0;0,3157894736842105;26,59279778393352;0,7218045112781956;3
diaz b;C;milan;73,6842105263158;6,5;0,34210526315789475;25,207756232686982;0,6842105263157896;3
schiattarella p;C;benevento;78,94736842105263;6,0;0,3157894736842105;24,93074792243767;0,6766917293233083;3
perisic i;C;inter;84,21052631578948;5,5;0,2894736842105263;24,37673130193906;0,6616541353383459;3
ruiz f;C;napoli;84,21052631578948;5,5;0,2894736842105263;24,37673130193906;0,6616541353383459;3
zielinski p;C;napoli;73,6842105263158;6,25;0,32894736842105265;24,238227146814406;0,6578947368421054;3
svanberg m;C;bologna;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
molina s;C;crotone;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
traore j;C;sassuolo;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
vulic m;C;crotone;78,94736842105263;5,5;0,2894736842105263;22,85318559556787;0,6203007518796994;3
arslan t;C;udinese;73,6842105263158;5,75;0,3026315789473684;22,299168975069254;0,605263157894737;3
pobega t;C;spezia;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;3
agudelo k;C;spezia;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;3
rog m;C;cagliari;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;3
hetemaj p;C;benevento;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;3
estevez n;C;spezia;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;3
ilic i;C;verona;63,1578947368421;6,0;0,3157894736842105;19,944598337950136;0,5413533834586466;2
villar g;C;roma;63,1578947368421;6,0;0,3157894736842105;19,944598337950136;0,5413533834586466;2
leiva l;C;lazio;68,42105263157895;5,5;0,2894736842105263;19,806094182825486;0,5375939849624061;2
radovanovic i;C;genoa;68,42105263157895;5,5;0,2894736842105263;19,806094182825486;0,5375939849624061;2
akpa akpro;C;lazio;68,42105263157895;5,5;0,2894736842105263;19,806094182825486;0,5375939849624061;2
meite s;C;torino;68,42105263157895;5,5;0,2894736842105263;19,806094182825486;0,5375939849624061;2
pessina m;C;atalanta;57,89473684210526;6,5;0,34210526315789475;19,806094182825483;0,537593984962406;2
tonali s;C;milan;63,1578947368421;5,75;0,3026315789473684;19,113573407202214;0,518796992481203;2
lopez m;C;sassuolo;63,1578947368421;5,75;0,3026315789473684;19,113573407202214;0,518796992481203;2
dominguez n;C;bologna;63,1578947368421;5,5;0,2894736842105263;18,282548476454295;0,4962406015037595;2
veloso m;C;verona;57,89473684210526;6,0;0,3157894736842105;18,28254847645429;0,49624060150375937;2
escalante g;C;lazio;57,89473684210526;6,0;0,3157894736842105;18,28254847645429;0,49624060150375937;2
obiang p;C;sassuolo;57,89473684210526;6,0;0,3157894736842105;18,28254847645429;0,49624060150375937;2
vignato e;C;bologna;57,89473684210526;6,0;0,3157894736842105;18,28254847645429;0,49624060150375937;2
gomez a;C;atalanta;52,63157894736842;6,5;0,34210526315789475;18,005540166204984;0,48872180451127817;2
sohm s;C;parma;57,89473684210526;5,5;0,2894736842105263;16,759002770083104;0,45488721804511284;2
lazovic d;C;verona;57,89473684210526;5,5;0,2894736842105263;16,759002770083104;0,45488721804511284;2
