giocatore;ruolo;squadra;pr;fv;fv_hat;metric;metric_norm;q
calabria d;D;milan;100,0;6,5;0,34210526315789475;34,21052631578947;0,9285714285714286;3
ibanez r;D;roma;100,0;6,0;0,3157894736842105;31,57894736842105;0,8571428571428572;3
glik k;D;benevento;100,0;6,0;0,3157894736842105;31,57894736842105;0,8571428571428572;3
milenkovic n;D;fiorentina;94,73684210526315;6,0;0,3157894736842105;29,916897506925203;0,8120300751879699;3
biraghi c;D;fiorentina;94,73684210526315;6,0;0,3157894736842105;29,916897506925203;0,8120300751879699;3
danilo l;D;bologna;94,73684210526315;6,0;0,3157894736842105;29,916897506925203;0,8120300751879699;3
spinazzola l;D;roma;84,21052631578948;6,5;0,34210526315789475;28,80886426592798;0,7819548872180453;3
pereira p;D;crotone;94,73684210526315;5,75;0,3026315789473684;28,670360110803323;0,7781954887218046;3
danilo ds;D;juventus;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
palomino j;D;atalanta;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
reca a;D;crotone;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
ferrari g;D;sassuolo;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
dimarco f;D;verona;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
di lorenzo g;D;napoli;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
augello t;D;sampdoria;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
hernandez t;D;milan;84,21052631578948;6,25;0,32894736842105265;27,700831024930753;0,7518796992481205;3
becao r;D;udinese;94,73684210526315;5,5;0,2894736842105263;27,42382271468144;0,7443609022556391;3
skriniar m;D;inter;78,94736842105263;6,5;0,34210526315789475;27,00831024930748;0,7330827067669174;3
djimsiti b;D;atalanta;78,94736842105263;6,5;0,34210526315789475;27,00831024930748;0,7330827067669174;3
toloi r;D;atalanta;84,21052631578948;6,0;0,3157894736842105;26,59279778393352;0,7218045112781956;3
mancini g;D;roma;84,21052631578948;6,0;0,3157894736842105;26,59279778393352;0,7218045112781956;3
walukiewicz s;D;cagliari;84,21052631578948;6,0;0,3157894736842105;26,59279778393352;0,7218045112781956;3
chabot j;D;spezia;84,21052631578948;5,75;0,3026315789473684;25,48476454293629;0,6917293233082707;3
young a;D;inter;78,94736842105263;6,0;0,3157894736842105;24,93074792243767;0,6766917293233083;3
zeegelaar m;D;udinese;78,94736842105263;6,0;0,3157894736842105;24,93074792243767;0,6766917293233083;3
singo w;D;torino;78,94736842105263;6,0;0,3157894736842105;24,93074792243767;0,6766917293233083;3
tuia a;D;benevento;78,94736842105263;6,0;0,3157894736842105;24,93074792243767;0,6766917293233083;3
de silvestri l;D;bologna;78,94736842105263;6,0;0,3157894736842105;24,93074792243767;0,6766917293233083;3
bastoni a;D;inter;84,21052631578948;5,5;0,2894736842105263;24,37673130193906;0,6616541353383459;3
zappa g;D;cagliari;84,21052631578948;5,5;0,2894736842105263;24,37673130193906;0,6616541353383459;3
yoshida m;D;sampdoria;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
lovato m;D;verona;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
pezzella ger;D;fiorentina;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
rui m;D;napoli;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
magallan l;D;crotone;78,94736842105263;5,5;0,2894736842105263;22,85318559556787;0,6203007518796994;2
terzi c;D;spezia;78,94736842105263;5,5;0,2894736842105263;22,85318559556787;0,6203007518796994;2
alves b;D;parma;73,6842105263158;5,75;0,3026315789473684;22,299168975069254;0,605263157894737;2
chiriches v;D;sassuolo;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
barba f;D;benevento;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
bereszynski b;D;sampdoria;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
gagliolo r;D;parma;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
larsen s;D;udinese;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
dawidowicz p;D;verona;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
goldaniga e;D;genoa;73,6842105263158;5,5;0,2894736842105263;21,329639889196677;0,5789473684210528;2
caceres m;D;fiorentina;73,6842105263158;5,25;0,27631578947368424;20,360110803324105;0,5526315789473686;2
tonelli l;D;sampdoria;73,6842105263158;5,25;0,27631578947368424;20,360110803324105;0,5526315789473686;2
colley o;D;sampdoria;63,1578947368421;6,0;0,3157894736842105;19,944598337950136;0,5413533834586466;2
ceccherini f;D;verona;63,1578947368421;6,0;0,3157894736842105;19,944598337950136;0,5413533834586466;2
patric;D;lazio;68,42105263157895;5,5;0,2894736842105263;19,806094182825486;0,5375939849624061;2
masiello a;D;genoa;68,42105263157895;5,5;0,2894736842105263;19,806094182825486;0,5375939849624061;2
smalling c;D;roma;57,89473684210526;6,0;0,3157894736842105;18,28254847645429;0,49624060150375937;2
igor j;D;fiorentina;57,89473684210526;6,0;0,3157894736842105;18,28254847645429;0,49624060150375937;2
bani m;D;genoa;57,89473684210526;5,5;0,2894736842105263;16,759002770083104;0,45488721804511284;2
foulon d;D;benevento;57,89473684210526;5,5;0,2894736842105263;16,759002770083104;0,45488721804511284;2
golemic v;D;crotone;57,89473684210526;5,5;0,2894736842105263;16,759002770083104;0,45488721804511284;2
kyriakopoulos g;D;sassuolo;57,89473684210526;5,5;0,2894736842105263;16,759002770083104;0,45488721804511284;2
darmian m;D;inter;52,63157894736842;6,0;0,3157894736842105;16,620498614958446;0,45112781954887216;2
bonifazi k;D;udinese;52,63157894736842;6,0;0,3157894736842105;16,620498614958446;0,45112781954887216;2
magnani g;D;verona;52,63157894736842;6,0;0,3157894736842105;16,620498614958446;0,45112781954887216;2
osorio y;D;parma;52,63157894736842;6,0;0,3157894736842105;16,620498614958446;0,45112781954887216;2
toljan j;D;sassuolo;52,63157894736842;5,5;0,2894736842105263;15,23545706371191;0,4135338345864662;2
caldirola l;D;benevento;52,63157894736842;5,5;0,2894736842105263;15,23545706371191;0,4135338345864662;2
frabotta g;D;juventus;47,368421052631575;6,0;0,3157894736842105;14,958448753462601;0,40601503759398494;2
ferrer c;D;spezia;47,368421052631575;5,5;0,2894736842105263;13,71191135734072;0,37218045112781956;2
erlic m;D;spezia;47,368421052631575;5,5;0,2894736842105263;13,71191135734072;0,37218045112781956;2
godin d;D;cagliari;47,368421052631575;5,5;0,2894736842105263;13,71191135734072;0,37218045112781956;2
zappacosta d;D;genoa;42,10526315789474;6,0;0,3157894736842105;13,29639889196676;0,3609022556390978;1
gunter k;D;verona;42,10526315789474;6,0;0,3157894736842105;13,29639889196676;0,3609022556390978;1
czyborra l;D;genoa;42,10526315789474;6,0;0,3157894736842105;13,29639889196676;0,3609022556390978;1
de maio s;D;udinese;42,10526315789474;6,0;0,3157894736842105;13,29639889196676;0,3609022556390978;1
dambrosio d;D;inter;31,57894736842105;7,5;0,39473684210526316;12,465373961218836;0,33834586466165417;1
zapata c;D;genoa;42,10526315789474;5,5;0,2894736842105263;12,18836565096953;0,33082706766917297;1
demiral m;D;juventus;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;1
maksimovic n;D;napoli;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;1
dijks m;D;bologna;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;1
busi m;D;parma;42,10526315789474;5,0;0,2631578947368421;11,0803324099723;0,30075187969924816;1
vignali l;D;spezia;36,8421052631579;5,5;0,2894736842105263;10,664819944598339;0,2894736842105264;1
cuomo g;D;crotone;36,8421052631579;5,5;0,2894736842105263;10,664819944598339;0,2894736842105264;1
paz n;D;bologna;31,57894736842105;6,25;0,32894736842105265;10,387811634349031;0,2819548872180452;1
kalulu p;D;milan;31,57894736842105;6,0;0,3157894736842105;9,972299168975068;0,2706766917293233;1
rispoli a;D;crotone;31,57894736842105;6,0;0,3157894736842105;9,972299168975068;0,2706766917293233;1
ouwejan a;D;udinese;31,57894736842105;6,0;0,3157894736842105;9,972299168975068;0,2706766917293233;1
ceppitelli l;D;cagliari;31,57894736842105;5,5;0,2894736842105263;9,141274238227147;0,24812030075187974;1
dalot d;D;milan;31,57894736842105;5,5;0,2894736842105263;9,141274238227147;0,24812030075187974;1
sala j;D;spezia;31,57894736842105;5,25;0,27631578947368424;8,725761772853186;0,23684210526315794;1
maggio c;D;benevento;31,57894736842105;5,25;0,27631578947368424;8,725761772853186;0,23684210526315794;1
gabbia m;D;milan;26,31578947368421;6,0;0,3157894736842105;8,310249307479223;0,22556390977443608;1
dell orco c;D;spezia;26,31578947368421;6,0;0,3157894736842105;8,310249307479223;0,22556390977443608;1
carboni a;D;cagliari;26,31578947368421;6,0;0,3157894736842105;8,310249307479223;0,22556390977443608;1
tripaldelli a;D;cagliari;26,31578947368421;5,5;0,2894736842105263;7,617728531855955;0,2067669172932331;1
ter avest;D;udinese;26,31578947368421;5,5;0,2894736842105263;7,617728531855955;0,2067669172932331;1
maehle j;D;atalanta;21,05263157894737;6,25;0,32894736842105265;6,925207756232688;0,18796992481203012;1
mojica j;D;atalanta;26,31578947368421;5,0;0,2631578947368421;6,925207756232687;0,1879699248120301;1
ghoulam f;D;napoli;21,05263157894737;6,0;0,3157894736842105;6,64819944598338;0,1804511278195489;1
ruegg k;D;verona;21,05263157894737;6,0;0,3157894736842105;6,64819944598338;0,1804511278195489;1
santon d;D;roma;21,05263157894737;5,75;0,3026315789473684;6,3711911357340725;0,1729323308270677;1
empereur a;D;verona;21,05263157894737;5,75;0,3026315789473684;6,3711911357340725;0,1729323308270677;1
buongiorno a;D;torino;21,05263157894737;5,75;0,3026315789473684;6,3711911357340725;0,1729323308270677;1
pisacane f;D;cagliari;21,05263157894737;5,5;0,2894736842105263;6,094182825484765;0,16541353383458648;1
laurini v;D;parma;21,05263157894737;5,5;0,2894736842105263;6,094182825484765;0,16541353383458648;1
ranocchia a;D;inter;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
ismajli a;D;spezia;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
darmian m;D;parma;15,789473684210526;5,5;0,2894736842105263;4,570637119113574;0,12406015037593987;0
djidji k;D;crotone;15,789473684210526;5,5;0,2894736842105263;4,570637119113574;0,12406015037593987;0
denswil s;D;bologna;15,789473684210526;5,5;0,2894736842105263;4,570637119113574;0,12406015037593987;0
sutalo b;D;atalanta;15,789473684210526;5,5;0,2894736842105263;4,570637119113574;0,12406015037593987;0
depaoli f;D;atalanta;15,789473684210526;5,0;0,2631578947368421;4,155124653739612;0,11278195488721804;0
ceccherini f;D;fiorentina;15,789473684210526;4,5;0,23684210526315788;3,739612188365651;0,10150375939849625;0
de sciglio m;D;juventus;10,526315789473685;6,25;0,32894736842105265;3,462603878116344;0,09398496240601506;0
valenti l;D;parma;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
malcuit k;D;napoli;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;0
barreca a;D;fiorentina;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
jesus j;D;roma;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
ricci g;D;parma;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
udogie d;D;verona;10,526315789473685;5,75;0,3026315789473684;3,1855955678670362;0,08646616541353384;0
ramos j;D;spezia;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
danzi a;D;verona;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
depaoli f;D;sampdoria;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
balogh b;D;parma;10,526315789473685;5,25;0,27631578947368424;2,908587257617729;0,07894736842105265;0
rrahmani a;D;napoli;10,526315789473685;5,25;0,27631578947368424;2,908587257617729;0,07894736842105265;0
mbaye i;D;bologna;10,526315789473685;4,5;0,23684210526315788;2,4930747922437675;0,06766917293233084;0
dierckx d;D;parma;5,2631578947368425;7,0;0,3684210526315789;1,9390581717451525;0,05263157894736843;0
ruggeri m;D;atalanta;5,2631578947368425;6,5;0,34210526315789475;1,8005540166204987;0,04887218045112783;0
pastina c;D;benevento;5,2631578947368425;6,5;0,34210526315789475;1,8005540166204987;0,04887218045112783;0
luperto s;D;napoli;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
calabresi a;D;bologna;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
duarte l;D;milan;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
dermaku k;D;parma;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
peluso f;D;sassuolo;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
musacchio m;D;milan;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
piccini c;D;atalanta;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
khailoti o;D;bologna;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
vavro d;D;lazio;5,2631578947368425;5,0;0,2631578947368421;1,3850415512465375;0,03759398496240602;0
calafiori r;D;roma;5,2631578947368425;5,0;0,2631578947368421;1,3850415512465375;0,03759398496240602;0
caldara m;D;atalanta;5,2631578947368425;4,5;0,23684210526315788;1,2465373961218837;0,03383458646616542;0
mazzotta s;D;crotone;5,2631578947368425;3,5;0,18421052631578946;0,9695290858725762;0,026315789473684216;0
regini v;D;sampdoria;5,2631578947368425;2,0;0,10526315789473684;0,554016620498615;0,015037593984962409;0
