;Illegali;Atletico Diofa;Immigrati-Diffidati FC;Niggaz FC;PeauntButter;3/4 Delu;SturieDiCalcio F.C.;Le Bianche Casacche;DeportivoLaCarogna;A. S. Tronzo
P1;Boer;Nicolas;Gollini;Buffon;Handaonovic;Reina;Cordaz;Audero;Berardi A;cragno
P2;Mirante;Sepe;Rafael;Pinsoglio;Montipo ;Sirigu;Dragowski;Consigli;Meret;perin
P3;Pau Lopez;Silvestri;Sportiello;Szczesny;Radu;Strakosha;Musso;Donnarumma;Ospina;skorupski
D1;Ansaldi;Bremer;Biraschi;Acerbi;Ayhan;Hoedt;Hickey;Bonucci;Bruno Alves;bastoni
D2;Cetin;Faraoni;Hakimi;Alex Sandro;Calabria;Koulibaly;Iacoponi;Izzo;Bruno Peres;biraghi
D3;Cuadrado;Hysaj;Kolarov;Chiellini;Criscito;Lulic;Letizia;Kjaer;de vrij;klavan
D4;De Ligt;Karsdrop;Lazzari;Muldur;Hernandez;Manolas;Luiz felipe;Kumbulla;hateboer;ghiglione
D5;Gosens;Lirola;Lykogiannis;Roger Ibanez;Luperto;Pezzella;Marlon;Marrone;maggio;radu
D6;Milenkovic;Lyanco;Murusic;Tomiyasu;Mancini;Romero;Masiello;Rafael Toloi;mario rui;ricci
D7;Pezzella;Murru;Nkoulou;Vojvoda;Marcizza;Venuti;Nuytinck;Romagnoli;rodirguez;samir
D8;Stryger Larsen;Skriniar;Spinazzola;Zappacosta;Pellegrini;Young;Palomino;Smalling;toljan;
C1;Calhanoglu;Castrovilli;Brahim Diaz;Arthur;Bentancur;Bakayoko;Barak;Ambarat;cristante;Barella
C2;Cyprien;Demme;De paul;Bennacer;Bernardeschi;Benassi;Candreva;Badelj;djuricic;borja valero
C3;Marin;Gojak;Jose Callejon;Kessie;Chiesa;Cigarini;Gagliardini;Hernani;salesmakers;brozovic
C4;Mkhitaryan;Kucka;Luis Alberto;Linetty;Ekdal;Elmas;Kulusewski;Lazovic;verdi;de roon
C5;Pasalic;Miguel Veloso;Miranchuk;Nandez;Freuler;Lucas Leiva;Kurtic;Locatelli;vidal;nainggolan
C6;Pulgar;Milinkovinc-Savic;Pellegrini;Ramsey;Lobotka;McKennie;Maggiore;Pereyra;viola;verre
C7;Sensi;Parolo;Zajc;Sottil;Samu Castillejo;Rabiot;Rog;Ramirez;fabian ruiz;bonaventura
C8;Vulic;Zaccagni;Eriksen;Veretout;Zielinski;Tonali;Zanellato;Soriano;malinovsky;
A1;Balde;Belotti;Dzeko;ronaldo c;Caicedo;Boga;Bonazzoli;Berardi;caputo;di carmine
A2;Barrow;Carles Perez;Lasagna;Gervinho;Deulofeu;Defrel;Caprari;Cornelius;favilli ;insigne
A3;Ibrahimovbic;Corera;Lozano;Destro;Inglese;Immobile;Dybala;Galabinov;koumane;kalinic
A4;Lammers;Gyasi;Nwankwo;Ilicic;Karamoh;Joao pedro;Gabbaidini;Iago Falque;lapaduka;quagliarella
A5;Leao;Muriel;Osimehn;Okaka;Lukaku;Pjaca;Hauge;Morata;martinez;ribery
A6;Verde;Vlahovic;Sanchez;Shomurodov;Pedro;Sansone;Simeone;Rebic;mertens;zapata
